date,price
096Q3,1373.25
096Q4,996.2
097Q1,1165.05
097Q2,1641.91
097Q3,1509.63
097Q4,1137.5
098Q1,1092.01
098Q2,1223.92
098Q3,1359.26
098Q4,1529.81
099Q1,1613.75
099Q2,1619.3
099Q3,1452.82
099Q4,1755.52
100Q1,2160.07
100Q2,1967.61
100Q3,2008.4
100Q4,1754.87
101Q1,1847.15
101Q2,2402.76
101Q3,2158.48
101Q4,2130.51
102Q1,2282.1
102Q2,1994.3
102Q3,2264.2
102Q4,1907.7
103Q1,1933.8
103Q2,2186.4
103Q3,2205.3
103Q4,1884.5
104Q1,2532.8
104Q2,2109.7
104Q3,2333.5
104Q4,2152
105Q1,2591
105Q2,2455.4
105Q3,2419.2
105Q4,2603.7
106Q1,2283.6
106Q2,2468.3
106Q3,2142.9
106Q4,2575.9
107Q1,2134.7
107Q2,2435.4
107Q3,2445.6
107Q4,2224.3
108Q1,1850
108Q2,2047.1
108Q3,2358.6
108Q4,2279.6
109Q1,1951
109Q2,2266.5
109Q3,2233.5
109Q4,2212.1
110Q1,2432.2
110Q2,2222.9
110Q3,2283.1
110Q4,2544.6
111Q1,2280.2
111Q2,2297.3
111Q3,2307.5
111Q4,2441
112Q1,2507.2
112Q2,2404.9
112Q3,2123.7
112Q4,2738.6
113Q1,2643.3
