縣市,行政區,小民參政歐巴桑聯盟,台灣綠黨,臺灣雙語無法黨,台灣基進,中華統一促進黨,民主進步黨,制度救世島,時代力量,中國國民黨,司法改革黨,新黨,台灣民眾黨,台灣維新,親民黨,人民最大黨,台灣團結聯盟,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G",人口數,該行政區國民黨得票率,該行政區民進黨得票率,該行政區民眾黨得票率,一一一年底老年人口數,
臺北市,北投區,1429,1383,431,824,116,53882,110,3966,50542,336,630,32630,82,997,61,327,147746,2010,149756,23,149779,52268,202047,74.12,242379,0.342087095,0.36469346,0.220852003,48615,
臺北市,士林區,1432,1412,454,882,177,63688,110,4419,54693,333,687,34225,84,1931,85,366,164978,2136,167114,53,167167,58004,225171,74.22,266841,0.33151693,0.386039351,0.207451903,58271,
臺北市,大同區,668,609,188,455,83,30494,49,2066,21077,153,212,16777,42,459,42,194,73568,956,74524,2,74526,26213,100739,73.98,119957,0.286496846,0.41450087,0.228047521,25022,
臺北市,中山區,1084,1106,347,717,160,47807,72,3752,47507,315,546,27948,80,729,72,233,132475,1517,133992,3,133995,49529,183524,73.01,216359,0.358611059,0.360875637,0.210968107,46699,
臺北市,松山區,963,914,310,564,99,37993,63,3465,46613,245,594,24025,67,574,38,208,116735,1181,117916,6,117922,39787,157709,74.77,193453,0.399306121,0.325463657,0.205808027,41802,
臺北市,內湖區,1388,1510,434,1445,118,52674,106,5139,63972,337,754,40472,82,824,70,293,169618,2091,171709,73,171782,55012,226794,75.71,276173,0.377153368,0.310544871,0.238606752,45893,
臺北市,南港區,602,597,227,606,68,22467,61,1943,26180,158,339,17183,47,385,54,165,71082,1124,72206,7,72213,23961,96174,75.08,113893,0.368307026,0.316071579,0.241734898,21423,
臺北市,萬華區,840,904,296,555,136,38390,398,2471,38511,308,470,24354,56,541,78,312,108620,1998,110618,15,110633,41371,152004,72.77,173431,0.354547965,0.35343399,0.224212852,39956,
臺北市,中正區,872,729,238,499,88,27560,112,2679,33720,224,478,19786,46,444,31,171,87677,1041,88718,5,88723,31204,119927,73.98,150154,0.384593451,0.314335573,0.225669218,30513,
臺北市,大安區,1378,1499,544,932,134,53287,80,5132,70798,417,1055,33797,91,892,61,278,170375,1782,172157,30,172187,63356,235543,73.09,291687,0.415542186,0.312763023,0.198368305,65344,
臺北市,信義區,1057,1048,282,613,176,40634,85,3602,52304,271,635,27131,64,711,58,286,128957,1692,130649,25,130674,46230,176904,73.85,206666,0.405592562,0.31509728,0.210387959,46351,
臺北市,文山區,2115,1413,492,774,161,42558,71,4609,69087,432,1036,36061,111,841,65,300,160126,1997,162123,14,162137,54424,216561,74.86,260298,0.43145398,0.2657782,0.225203902,48705,
新北市,石門區,48,68,23,41,12,2163,18,112,2506,21,15,1193,2,31,6,30,6289,225,6514,1,6515,3071,9586,67.95,10730,0.398473525,0.343933853,0.189696295,2206,
新北市,三芝區,92,178,43,64,25,4293,28,239,5155,41,51,2513,15,58,14,67,12876,419,13295,0,13295,6260,19555,67.99,22113,0.400357254,0.333410997,0.195169307,4716,
新北市,淡水區,972,1258,279,597,143,37300,124,2747,43548,265,452,26062,82,730,98,313,114970,1972,116942,5,116947,48332,165279,70.75,194986,0.378777072,0.324432461,0.226685222,32647,
新北市,八里區,196,264,58,124,34,8696,28,535,8576,59,71,5620,16,173,21,77,24548,543,25091,3,25094,10641,35735,70.21,42004,0.349356363,0.354244745,0.228939221,6229,
新北市,林口區,711,709,177,380,69,23931,45,2069,26051,152,355,18392,57,528,47,135,73808,1073,74881,6,74887,27833,102720,72.9,133306,0.352956319,0.324233145,0.24918708,15875,
新北市,泰山區,416,493,92,169,52,16627,46,1148,15005,95,113,11086,33,290,40,120,45825,770,46595,3,46598,17073,63671,73.18,77547,0.327441353,0.362836879,0.241920349,11352,
新北市,五股區,541,464,158,240,55,20438,75,1310,16437,128,156,13839,39,385,53,193,54511,1027,55538,2,55540,22557,78097,71.11,92869,0.30153547,0.3749335,0.253875365,12271,
新北市,蘆洲區,1502,992,334,545,110,47385,120,3074,32753,238,266,29804,69,685,84,368,118329,1931,120260,13,120273,46500,166773,72.11,199939,0.276796052,0.400451284,0.251874012,27050,
新北市,三重區,2906,1994,694,1186,257,94895,200,6245,68244,552,741,54643,152,1353,169,734,234965,4117,239082,6,239088,87926,327014,73.11,382957,0.290443258,0.403868661,0.232558041,67799,
新北市,新莊區,2921,2257,610,1294,227,94615,280,7156,75431,613,738,62344,151,1702,183,634,251156,3869,255025,14,255039,93180,348219,73.24,423653,0.30033525,0.376718056,0.248228193,61156,
新北市,樹林區,1000,950,285,488,100,39234,139,2778,34082,288,340,25214,65,742,78,340,106123,2124,108247,8,108255,41455,149710,72.3,180521,0.32115564,0.36970308,0.237592228,26752,
新北市,鶯歌區,449,462,158,217,103,19036,65,1267,16521,146,134,12633,36,310,43,184,51764,1129,52893,2,52895,21106,74001,71.48,89064,0.319160034,0.367745924,0.244049919,12601,
新北市,板橋區,4406,3086,968,1633,340,124895,321,9311,110456,972,1070,75640,200,1846,193,919,336256,5399,341655,26,341681,119285,460966,74.12,554201,0.328487819,0.371428317,0.224947659,97799,
新北市,中和區,2469,2137,971,1041,269,77656,251,6440,104666,651,1194,56414,179,1286,170,594,256388,4239,260627,40,260667,90279,350946,74.26,407169,0.408232835,0.30288469,0.220033699,78525,
新北市,永和區,1239,1217,339,599,143,36779,90,3515,58401,322,735,27410,196,710,68,263,132026,1978,134004,7,134011,47137,181148,73.97,214736,0.44234469,0.278573917,0.207610622,45381,
新北市,土城區,1296,1184,354,712,111,51592,132,3912,48333,348,482,34611,99,872,129,413,144580,2613,147193,13,147206,55522,202728,72.61,240900,0.33429935,0.356840504,0.239389957,34776,
新北市,三峽區,560,559,205,338,84,22776,79,1649,22728,197,237,15482,40,388,77,205,65604,1339,66943,1,66944,27730,94674,70.71,115571,0.34644229,0.347173953,0.235991708,16558,
新北市,新店區,1633,1694,431,822,247,51367,167,4733,86025,490,1386,39011,87,1306,145,424,189968,2897,192865,9,192874,72791,265665,72.6,305113,0.452839426,0.270398172,0.205355639,62248,
新北市,深坑區,109,170,41,82,16,4920,16,378,5513,41,77,3020,8,97,20,56,14564,280,14844,3,14847,5860,20707,71.69,23699,0.378536116,0.33781928,0.207360615,4096,
新北市,石碇區,32,44,21,25,14,1963,16,77,1435,9,16,690,6,21,5,19,4393,135,4528,1,4529,1938,6467,70.02,7139,0.326656044,0.446847257,0.157068063,1861,
新北市,坪林區,29,37,8,20,10,1899,4,72,1205,8,14,566,4,20,4,9,3909,126,4035,0,4035,1817,5852,68.95,6437,0.308262983,0.485801995,0.144794065,1886,
新北市,烏來區,27,35,9,12,3,938,6,54,1583,16,17,674,2,24,9,15,3424,108,3532,0,3532,1602,5134,68.8,6348,0.462324766,0.273948598,0.196845794,1069,
新北市,金山區,76,95,45,53,38,4890,40,200,4027,25,27,2250,14,62,23,81,11946,350,12296,1,12297,5689,17986,68.36,20326,0.337100285,0.409342039,0.188347564,3862,
新北市,萬里區,70,121,45,46,41,4800,35,208,4330,35,34,2062,9,53,18,45,11952,310,12262,0,12262,6177,18439,66.5,20843,0.362282463,0.401606426,0.172523427,4565,
